Projeto,Descrição,Prioridade,Setor,Cliente,Status,Data de Início,Data de Término,Responsável,Atualizado por
RCB - CRIAÇÃO DE FLUXO,"Realizada a primeira reunião, porém infrutífera. O fluxo usado atualmente não permite o bom uso do CPJ. Será necessário conversar mais para verificar a melhor forma de realizar esse fluxo.",Médio,CPJ,,Em andamento,07/08/2024,,Victor,Perez de Rezende Advogados
RCB EXECUÇÃO - CRIAÇÃO DE FLUXO,"Luci não conseguiu participar da primeira reunião. Solicitei outro horário em 24/09, aguardando resposta / Ainda sem resposta, alega não ter tempo para a realização da reunião",Alta,CPJ,RCB Busca,Em andamento,09/02/2024,,Victor,Perez de Rezende Advogados
Criação de ficha para o localizador,"Extração de ficha de localizador feita diretamente pelo CPJ, já com as informações pertinentes. Aguardando reunião com a equipe para apresentar o trabalho já realizado.",Médio,CPJ,Localização,Em andamento,10/10/2024,,"Ródiney, Victor",Perez de Rezende Advogados
Verificação e Análise de desempenho do CPJ para Alta Disponibilidade,Análise de desempenho da versão em homologação do CPJ para verificar gaps para que a Leviatan migre nosso servidor em nuvem para Alta Disponibilidade,Alta,CPJ,Escritório,Em andamento,24/02/2025,,Victor,Perez de Rezende Advogados
Dashboard por Negociador,Habilitação do dashboard de acionamentos por negociador no CPJ-Cobrança - Aguardando retorno da Preâmbulo,Alta,Cobrança,Bradesco BA,Em andamento,28/02/2025,,Jackson,Perez de Rezende Advogados
BI PARA CONTROLE DE RESULTADOS BRADESCO,CRIAR UM BI PARA ACOMPANHAMENTO DO RESULTADO DO BRADESCO EM TEMPO REAL,Alta,Cobrança,Bradesco JUD,Não iniciada,06/08/2025,08/08/2025,Jackson,JACKSON GOMES
Reestruturação CPJs,"Criar projeto que envolve os dois sistemas, em relação as nomenclaturas e padrões de dados dentro dos sistemas, projeto deve ser iniciado para ser executado no recesso",Médio,"CPJ, Cobrança",TODOS,Não iniciada,07/08/2025,,"Michele, Victor",Victor Quaresma
Viagem e Cotação,"A ideia seria extrair valores de viagens direto da Web, após ser preenchido o formulário pelo colaborador, após o preenchimento e extração, um relatório via e-mail é encaminhado para Dona Vilma, que fara a compra e a reserva",Médio,"CPJ, Cobrança, Desenvolvimento",TODOS,Não iniciada,13/05/2025,,Ródiney,Perez de Rezende Advogados
Robô de Batimento | Identificar quebra de acordo,"Robô cria um banco de dados de Janeiro de 24 até hoje, recebe os arquivos de carga do cliente, analisa os entrantes e saídas da base, e verificar os clientes já realizaram acordo e retornaram por quebra. ",Alta,"CPJ, Cobrança, Desenvolvimento",TODOS,Não iniciada,31/07/2025,,Ródiney,Perez de Rezende Advogados
Saneamento de Juízo,Sanear todos os registros de Juízo dentro da base do CPJ,Médio,CPJ,,Não iniciada,,,"Michele, Victor",Victor Quaresma
AJUSTE DE NUMERAÇÃO DE INTEGRAÇÃO SICOOB,Ajustar o número de integração da sicoob  realizar a correta integração via sistemas,Médio,"CPJ, Cobrança",SICOOB JUD,Não iniciada,,,"Sabrine, Victor",Victor Quaresma
Workflow creditas contrárias,"Criar WF para a equipe de contrárias, pois o cliente começou a solicitar informações que não lançamos no CPJ",Alta,CPJ,Creditas Contrárias,Não iniciada,08/04/2025,,Victor,Victor Quaresma
RPA envio de Boletos e-mail/wpp,"Robô que encaminha os boletos para o clientes da Natura e Itaú ADM, atualmente o processo é realizado manual",Alta,Cobrança,"Itaú ADM, Natura",Não iniciada,31/03/2025,,Ródiney,Perez de Rezende Advogados
Saneamento por Advogado,"Incluir 15 tarefas por Advogados na agenda, para realizar o saneamento dentro de um prazo de 6 Meses.",Alta,CPJ,,Não iniciada,07/04/2025,08/09/2025,"Vanessa, Victor",Victor Quaresma
Saneamento carteira Itaú,"1 - Filtro dentro do CPJ: Publicação Complemento.
2 - Robô de monitoramento CPJ: Termos localizados na Publicação.
3 - Saneamento por Prioridade entre os Advogados da Equipe.",Alta,CPJ,,Não iniciada,31/03/2025,04/04/2025,"Ródiney, Vanessa, Victor",Perez de Rezende Advogados
Parametrização de terminologia da Publicação,"Termos localizados na publicação, dicionário de palavras para melhorar a sugestão de classificação de publicação.",Alta,CPJ,,Não iniciada,31/03/2025,,"Jackson, Patricia, Ródiney, Sabrine, Vanessa, Victor",Perez de Rezende Advogados
Revisão do fluxo de Contrárias,,Médio,CPJ,,Não iniciada,,,Victor,Perez de Rezende Advogados
AGNES,"Automatizador de peças jurídicas, orientado para gerar as peças a partir de perguntas e respostas, com padrão estabelecido pelo escritório",Baixa,CPJ,,Não iniciada,,,Victor,Perez de Rezende Advogados
TIME-SHEET,Contagem de minutos em que cada colaborador permanece na tarefa - necessitamos melhorar o fluxo de todos os workflows,Baixa,CPJ,,Não iniciada,,,Victor,Perez de Rezende Advogados
ROBÔ ANDAMENTOS - PJUR,TI - Digitrix / VPN bloqueada,Médio,CPJ,,Não iniciada,,,"Ródiney, Victor",Perez de Rezende Advogados
Petição por IA,"IA que lê os dados do Formulário preenchidos pela Bonnie e Tamires, Cria a petição com base no tipo de Tese e anexa no CPJ para que Aline Andrade e Larissa realizem o checagem para confirmar se está correto. ",Médio,Desenvolvimento,,Não iniciada,22/11/2024,01/11/2025,Ródiney,Perez de Rezende Advogados
ROBÔ ANDAMENTOS - GCPJ,Aguardando as equipes enviarem média/ assinatura Alessandro,Alta,CPJ,,Cancelado,,,"Ródiney, Victor",Perez de Rezende Advogados
SANEAMENTO RECOVERY,"1. BASE TODA COM AS PALAVRAS CHAVE DE ARQUIVAMENTO
2. ÚLTIMO ANDAMENTO DA BASE
(DEVOLVEMOS O CLIENTE)",Alta,CPJ,,Cancelado,,,"Ródiney, Victor",Perez de Rezende Advogados
Gerador de Arquivo CNAB,"Programa efetua a leitura da planilha do Excel com informações de pagamento, e converte em arquivo CNAB 240",Alta,Desenvolvimento,,Cancelado,17/01/2024,28/02/2025,Ródiney,Perez de Rezende Advogados
"FUNIL NATURA ","ENVIO SEMANAL DO RELATÓRIO DE ACIONAMENTO POR FASE ",Médio,,,,,,Camila,Camila Anjos
CONTESTAÇÃO DE PAGAMENTO (RACIONAL NATURA),"COLOCAR OS CASOS DE CONTESTAÇÃO NO LAYOUT NATURA ",Alta,Cobrança,Natura,,,,Camila,Camila Anjos
GRAVAR OCORRÊNCIAS DO  DISCADOR CPJ,"SUBIDA EM LOTE DE DISCAGEM DE INSUCESSO DO DISCADOR NO CPJ ",Médio,Cobrança,Natura,,,,Camila,Camila Anjos
RELATORIO D.U,"COMPARATIVO DIA X DIA MES ANTERIOR ",Baixa,Cobrança,Natura,,,,Camila,Camila Anjos
RITMO DE PRODUÇÃO,COMPARATIVO MES X MÊS ANTERIOR,Baixa,Cobrança,Natura,,,,Camila,Camila Anjos
